Rank,Company,Website,HQ,Domain,B2C/B2B,Remote Policy,CTC Min (INR LPA),CTC Max (INR LPA),Currency,Stage,Total Funding (USD),Latest Round (USD),Latest Round Date,Profitability,WLB (1-5),Visa,Domain Growth Score,Comp Score,Stability Score,Work Mode Score,Industry Score,WLB Score,Match Score
326,Lunchclub,lunchclub.com,San Francisco USA,AI Networking Platform,Both,Remote,850,1105,USD,Series A,25000000,4000000,2021,No,4.0,No,7,6,6.5,10,7,8,53.5
327,Hopin (RingCentral),hopin.com,Distributed,Virtual Events Platform,Both,Remote,850,1105,USD,Acquired,1000000000,Acquired,2022,No,3.8,No,6,6,7,10,6,7.5,52.0
328,Airmeet,airmeet.com,Bangalore India,Virtual Events Platform,Both,Hybrid Bangalore,15,25,INR,Series B,12000000,12000000,2021,No,3.8,No,6,4,6.5,6,6,7.5,47.0
329,Bevy,bevy.com,Palo Alto USA,Community Events Platform,B2B,Remote,850,1105,USD,Series C,40000000,26000000,2021,No,4.0,No,6,6,7,10,6,8,52.5
330,Swapcard,swapcard.com,Paris France,AI Event Management,B2B,Hybrid Paris,595,850,USD,Series A,13000000,13000000,2021,No,3.8,No,6,5,6.5,6,6,7.5,49.0
331,Eventbrite,eventbrite.com,Nashville USA,Event Ticketing B2C,B2C,Hybrid,850,1105,USD,Public,0,Near profitable,N/A,No,3.8,No,6,6,7.5,6,7,7.5,54.5
332,Dice.fm,dice.fm,London UK,Music & Events Discovery B2C,B2C,Hybrid London,595,850,USD,Series B,122000000,65000000,2021,No,4.1,No,8,5.5,7.5,6,9,8.5,56.5
333,Bandcamp (Songtradr),bandcamp.com,Oakland USA,Artist Music Platform B2C,B2C,Hybrid,850,1105,USD,Acquired,N/A,Acquired,2022,No,3.8,No,9,6,7,6,9,7.5,58.0
334,SoundCloud,soundcloud.com,Berlin Germany,Music Streaming & Creator,B2C,Hybrid Berlin,680,935,USD,Private,75000000,75000000,2021,No,4.0,No,9,5.5,7,6,9,8,58.5
335,Audiomack,audiomack.com,New York USA,Music Streaming B2C,B2C,Hybrid NY,680,935,USD,Series A,6000000,6000000,2021,No,3.8,No,9,5.5,6.5,6,9,7.5,57.0
336,Epidemic Sound,epidemicsound.com,Stockholm Sweden,Licensed Music for Creators,Both,Hybrid Stockholm,680,935,USD,Series C,450000000,450000000,2021,No,4.1,No,9,5.5,8,6,8,8.5,58.3
337,Artlist,artlist.io,Tel Aviv Israel,Licensed Music & SFX B2C,B2C,Hybrid,680,935,USD,Series A,48000000,48000000,2021,No,4.0,No,9,5.5,7.5,6,8,8,57.5
338,Moises App,moises.ai,São Paulo Brazil,AI Audio Tools Musicians,B2C,Remote,680,935,USD,Series A,7000000,7000000,2022,No,4.0,No,9,5.5,6.5,10,9,8,57.8
339,Endel,endel.io,Berlin Germany,AI Soundscapes / Wellness,B2C,Remote-friendly,595,850,USD,Seed,5000000,5000000,2022,No,4.2,No,8,5,6,8,8,8.5,54.3
340,Musicfy,musicfy.lol,San Francisco USA,AI Voice Cloning for Music,B2C,Remote,595,850,USD,Seed,2000000,2000000,2023,No,3.8,No,9,5,5.5,10,9,7.5,54.0
341,PlayHT,play.ht,Montreal Canada,AI Voice Generation B2B,Both,Remote,850,1105,USD,Series A,10000000,10000000,2023,No,4.0,No,9,6,7,10,8,8,57.5
342,Resemble AI,resemble.ai,San Francisco USA,AI Voice Cloning,Both,Remote,850,1105,USD,Series A,8000000,8000000,2022,No,4.0,No,9,6,6.5,10,8,8,56.8
343,Coqui,coqui.ai,Berlin Germany,Open-source TTS AI,Both,Remote,595,850,USD,Seed,3000000,3000000,2022,No,4.0,No,9,5,5.5,10,8,8,53.5
344,Aiva Technologies,aiva.ai,Luxembourg,AI Music Composition,B2C,Remote,595,850,USD,Bootstrapped,0,0,Profitable,No,4.1,No,9,5,7,10,9,8.5,56.5
