Rank,Company,Website,HQ,Domain,B2C/B2B,Remote Policy,CTC Min (INR LPA),CTC Max (INR LPA),Currency,Stage,Total Funding (USD),Latest Round (USD),Latest Round Date,Profitability,WLB (1-5),Visa,Domain Growth Score,Comp Score,Stability Score,Work Mode Score,Industry Score,WLB Score,Match Score
251,Hippocratic AI,hippocratic.ai,Palo Alto USA,Healthcare AI Agents,B2B,Hybrid,1190,1487,USD,Series C,190000000,141000000,Nov-2025,No,4.0,No,9,7.5,9,6,7,8,60.5
252,Nabla,nabla.com,Paris France,AI for Healthcare Clinicians,B2B,Hybrid Paris,680,935,USD,Series B,30000000,24000000,2023,No,4.1,No,8,5.5,7.5,6,7,8,54.8
253,Abridge,abridge.com,Pittsburgh USA,Clinical AI Documentation,B2B,Hybrid,1020,1317,USD,Series C,212500000,150000000,2025,No,4.0,No,8,7,8.5,6,7,8,57.8
254,Suki,suki.ai,Redwood City USA,AI Voice Assistant for Doctors,B2B,Hybrid,935,1190,USD,Series D,165000000,70000000,2023,No,3.9,No,8,6.5,8,6,7,7.5,56.3
255,Dovetail,dovetail.com,Sydney Australia,User Research Repository,B2B,Remote-first,850,1105,USD,Series A,63000000,63000000,2022,No,4.4,No,7,6,7.5,10,7,8.5,56.8
256,UserLeap (Sprig),sprig.com,San Francisco USA,In-product Research,B2B,Hybrid,1105,1402,USD,Series B,90000000,30000000,2022,No,4.2,No,7,7,7.5,6,7,8.5,57.5
257,Productboard (Czech PM),productboard.com,Prague Czech Republic,Product Management,B2B,Hybrid,680,935,USD,Series C,112000000,72000000,2022,No,4.1,No,6,5.5,7,6,7,8,53.3
258,Gainsight,gainsight.com,San Francisco USA,Customer Success Platform,B2B,Hybrid,1020,1317,USD,Series H,1120000000,200000000,2021,No,3.8,No,6,7,8,6,6,7.5,55.5
259,ChurnZero,churnzero.com,Washington DC USA,Customer Success AI,B2B,Hybrid,850,1105,USD,Series C,120000000,35000000,2022,No,3.8,No,6,6,7.5,6,6,7.5,52.8
260,Totango,totango.com,San Francisco USA,Customer Success,B2B,Hybrid,850,1105,USD,Series D,96000000,60000000,2019,No,3.7,No,6,6,7.5,6,6,7.5,52.5
261,Stripe PM,stripe.com,San Francisco USA,Payments Infrastructure,Both,Hybrid SF,1445,1785,USD,Late Stage,2200000000,694000000,2023,No,4.0,Yes,7,8.5,9.5,6,7,8,63.5
262,Plaid,plaid.com,San Francisco USA,Fintech Data Network,Both,Hybrid SF,1275,1572,USD,Series D,734000000,425000000,2021,No,4.0,No,7,8,8.5,6,7,8,59.8
263,Robinhood,robinhood.com,Menlo Park USA,Consumer Investing App,B2C,Hybrid,1190,1487,USD,Public,0,Profitable,N/A,No,3.7,No,7,7.5,8,6,8,7.5,60.5
264,Coinbase,coinbase.com,Remote USA,Crypto Exchange B2C,Both,Remote-first,1360,1700,USD,Public,0,Profitable,N/A,Yes,3.8,No,7,8.5,8.5,10,7,7.5,62.3
265,Binance,binance.com,Global/UAE,Crypto Exchange,Both,Remote,850,1190,USD,Private,0,Profitable,N/A,No,3.5,No,7,7,8.5,10,7,7,60.5
