Rank,Company,Website,HQ,Domain,B2C/B2B,Remote Policy,CTC Min (INR LPA),CTC Max (INR LPA),Currency,Stage,Total Funding (USD),Latest Round (USD),Latest Round Date,Profitability,WLB (1-5),Visa,Domain Growth Score,Comp Score,Stability Score,Work Mode Score,Industry Score,WLB Score,Match Score
176,Brex,brex.com,San Francisco USA,Corporate Finance/Fintech,B2B,Remote-first,1275,1572,USD,Series D,1500000000,300000000,2021,No,4.0,No,7,8,8.5,10,6,8,60.5
177,Rippling,rippling.com,San Francisco USA,HR & IT Management,B2B,Hybrid SF,1275,1572,USD,Series G,1200000000,500000000,2024,No,3.8,No,6,8,8.5,6,6,7.5,58.3
178,Deel,deel.com,San Francisco USA,Global HR & Payroll,B2B,Remote-first,1105,1402,USD,Series D,679000000,425000000,2022,Yes,4.1,No,6,7,8.5,10,6,8.5,58.0
179,Remote.com,remote.com,Distributed,Global Employment Platform,B2B,Remote-first,1020,1317,USD,Series C,496000000,300000000,2022,No,4.3,No,6,7,8,10,6,8.5,57.3
180,Personio,personio.com,Munich Germany,HR Software,B2B,Hybrid Munich,680,935,USD,Series E,724000000,270000000,2022,No,4.1,No,6,5.5,8,6,6,8,53.3
181,HiBob,hibob.com,Tel Aviv Israel,HR Platform,B2B,Hybrid,850,1105,USD,Series D,274000000,150000000,2022,No,4.0,No,6,6,7.5,6,6,8,52.8
182,Workato,workato.com,Mountain View USA,Enterprise Automation,B2B,Hybrid,1020,1317,USD,Series E,405000000,200000000,2021,No,3.8,No,7,7,8,6,6,7.5,55.8
183,Zapier,zapier.com,Distributed USA,Workflow Automation,Both,Remote-first,1105,1402,USD,Series A,1400000,1400000,2012,Yes,4.4,No,7,7,9,10,7,8.5,61.5
184,Make (Integromat),make.com,Prague Czech Republic,Workflow Automation,Both,Hybrid,680,935,USD,Series B,15000000,15000000,2021,No,4.0,No,7,5.5,7,6,7,8,53.2
185,n8n,n8n.io,Berlin Germany,Open-source Workflow Automation,Both,Remote-first,680,935,USD,Series B,57800000,35000000,2023,No,4.3,No,7,5.5,7,10,7,8.5,54.9
